,aspect,document,sentiment
953,LAPTOP#GENERAL,Don't waste your money!,negative
954,,This laptop is the most amazing little peice of machinery I have owned outside of the Iphone.,
955,,"It took me a while top get away from the land of PCs, but now that I have, I can't see myself going back to it.",
956,LAPTOP#GENERAL,The laptop is gorgeous.,positive
957,LAPTOP#DESIGN_FEATURES,"It is sleek, smooth, and lightweight.",positive
958,LAPTOP#PORTABILITY,It is easily portable and I take it everywhere I go and might require internet access.,positive
959,DISPLAY#DESIGN_FEATURES,The screen is very large and crystal clear with amazing colors and resolution.,positive
960,,The keyboard is slick and quiet and not bulky like some other laptops I have had in the past.,
961,CPU#OPERATION_PERFORMANCE,The processor is very quick and effective as I load webpages and applications.,positive
962,LAPTOP#QUALITY,It is quiet and a real joy to watch work.,positive
963,LAPTOP#GENERAL,I love it and will probably get another one when this goes to the Laptop in the sky!!,positive
964,LAPTOP#GENERAL,Overall this laptop is great.,positive
965,MEMORY#DESIGN_FEATURES,"It has plenty of memory, lots of hard drive, and great graphics.",positive
966,LAPTOP#QUALITY,It runs very quiet too which is a plus.,positive
967,BATTERY#OPERATION_PERFORMANCE,The only bad thing about it is they give you the worst batteries possible.,negative
968,BATTERY#OPERATION_PERFORMANCE,They only stay charged a little over an hour.,negative
969,BATTERY#OPERATION_PERFORMANCE,"Laptops are usually used on the go, so why not give you a better battery?",negative
970,,This a starter notebook.,
971,CPU#OPERATION_PERFORMANCE,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,negative
972,LAPTOP#DESIGN_FEATURES,The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.,negative
973,,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,
974,,I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations.,
975,LAPTOP#QUALITY,It is a cheap throw together.,negative
976,LAPTOP#GENERAL,Save your money and go for a better device.,negative
977,LAPTOP#PRICE,This laptop is a great price and has a sleek look.,positive
978,LAPTOP#OPERATION_PERFORMANCE,Runs smooth and quick.,positive
979,LAPTOP#DESIGN_FEATURES,"I wish it had a webcam though, then it would be perfect!",negative
980,LAPTOP#GENERAL,I Love my new computer!,positive
981,LAPTOP#OPERATION_PERFORMANCE,Its fast and another thing I like is that it has three USB ports.,positive
982,LAPTOP#MISCELLANEOUS,I love to write and play with graphics and html programming and my new Toshiba works great on both!,positive
983,LAPTOP#GENERAL,Thank you for your great product!,positive
984,LAPTOP#USABILITY,Everything about this computer is easy to use.,positive
985,LAPTOP#DESIGN_FEATURES,wonderful features.,positive
986,BATTERY#OPERATION_PERFORMANCE,The only thing is that the battery won't last more than 1/2 an hour.,negative
987,BATTERY#OPERATION_PERFORMANCE,It discharges too quickly.,negative
988,LAPTOP#GENERAL,"Kind of annoying, but I still love the laptop.",positive
989,LAPTOP#OPERATION_PERFORMANCE,It has good speed and plenty of hard drive space.,positive
990,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,The only downfall is the volume control.,negative
991,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,The wheel that turns the volume up and down doesn't work in real time.,negative
992,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,I have to keep turning it until it decides to lower and there is no mute.,negative
993,LAPTOP#GENERAL,I bought my macbook a few months ago and it has been my baby ever since.,positive
994,LAPTOP#GENERAL,I love it so much.,positive
995,LAPTOP#MISCELLANEOUS,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",positive
996,LAPTOP#OPERATION_PERFORMANCE,"The best thing is even while doing almost ten or twenty things at once, it never slows down.",positive
997,LAPTOP#OPERATION_PERFORMANCE,It's just as fast with one program open as it is with sixteen open.,positive
998,LAPTOP#OPERATION_PERFORMANCE,It works exactly like it did the day I took it out of the box.,positive
999,LAPTOP#GENERAL,GREAT INVESTMENT!,positive
1000,,I purchased this laptop while on a business trip to keep up with my email.,
1001,,I had left my regular laptop at home and needed something to use while out of town .,
1002,LAPTOP#PRICE,The price and features more than met my needs.,positive
1003,,I love WIndows 7 which is a vast improvment over Vista.,
1004,LAPTOP#DESIGN_FEATURES,The feature are good enough for what I need.,positive
1005,LAPTOP#GENERAL,I love my macbook pro!,positive
1006,,I have been a mac user since the mid 90s.,
1007,,I grew up in a design family so it only made sense.,
1008,LAPTOP#GENERAL,My laptop is almost 2yrs old and I have never had any problems with it.,positive
1009,LAPTOP#MISCELLANEOUS,If you are a PC user looking to convert I would HIGHLY recommend it!,positive
1010,LAPTOP#USABILITY,It may take a little getting used to but you don't have to worry about viruses or other headaches.,neutral
1011,LAPTOP#DESIGN_FEATURES,Not to mention the fact that your mac comes fully loaded with all necessary basic programs.,positive
1012,SOFTWARE#GENERAL,I am ADDICTED to photo booth!,positive
1013,SOFTWARE#GENERAL,It is SO much fun to play with.,positive
1014,SOFTWARE#MISCELLANEOUS,I work with kids and they love making short videos on there.,positive
1015,SOFTWARE#USABILITY,"I am able to organize my pics, music and files easily.",positive
1016,LAPTOP#GENERAL,If you have any creativity in you do yourself a favor and get a mac!,positive
1017,,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",
1018,KEYBOARD#USABILITY,I love the keyboard.,positive
1019,,Most laptops and notebooks are difficult to key on.,
1020,,This unit is not.,
1021,DISPLAY#GENERAL,The display is awesome.,positive
1022,,The resolution is even higher then any other laptop on the market.,
1023,LAPTOP#DESIGN_FEATURES,Only thing I would want to add to this is an internal bluray read/write drive.,neutral
1024,LAPTOP#DESIGN_FEATURES,But other than that I am blown away by all the features this laptop offers.,positive
1025,LAPTOP#QUALITY,I think this computer is super lame.,negative
1026,LAPTOP#GENERAL,I dont understand how anyone can think this is a great product worth purchasing.,negative
1027,,I went to my local Best Buy looking for a new laptop since mine broke.,
1028,LAPTOP#QUALITY,I decided to get this pile of crap on a whim and totally freaking regret it.,negative
1029,LAPTOP#GENERAL,It doesnt work worth a damn.,negative
1030,DISPLAY#GENERAL,The display is beyond horrible.,negative
1031,DISPLAY#USABILITY,I can not even read what I am writing half of the time.,negative
1032,LAPTOP#GENERAL,"There are so many things wrong with this product, it just makes me want to set my self on fire!",negative
1033,LAPTOP#QUALITY,I would totally recommend any other laptop over this pile of grabage.,negative
1034,,"I know there are way better laptops out there for the same price, and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls.",
1035,HARD_DISC#DESIGN_FEATURES,Not to mention it has shit gigs.,negative
1036,HARD_DISC#DESIGN_FEATURES,I could not even put my entire music collection on this garabage.,negative
1037,HARD_DISC#DESIGN_FEATURES,Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.,negative
1038,LAPTOP#QUALITY,"I bought this last week, and the very next day had to return it because it over heated and the touch-mouse stopped responding.",negative
1039,LAPTOP#QUALITY,"got another 1, and same issue.",negative
1040,LAPTOP#GENERAL,I am taking back today.,negative
1041,LAPTOP#GENERAL,Don't waste your money or time.,negative
1042,LAPTOP#GENERAL,"Very dissappointed becase I have had toshibas for years, and never a issue.",negative
1043,LAPTOP#OPERATION_PERFORMANCE,STOPPED BOOTING UP less than a week after my one-year warranty was up.,negative
1044,SUPPORT#QUALITY,Toshiba knows there is a manufacturing defect but will not acknowledge it.,negative
1045,,"Summary: After doing some investigation on the web, I have found that Toshiba NB205s are not chronically not booting.",
1046,LAPTOP#QUALITY,"Apparently there is a manufacturing defect, something with the amount of thermal paste.",negative
1047,SUPPORT#QUALITY,TOSHIBA WILL NOT ACKNOWLEDGE THIS PROBLEM.,negative
1048,SUPPORT#QUALITY,"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",negative
1049,OS#GENERAL,I loved the netbook (minus the fact that it was windows OS) until this started happening.,negative
1050,COMPANY#GENERAL,"But if you can't make your product last more than a year, you will not get my business again.",negative
1051,LAPTOP#GENERAL,I've had my MacBook Pro for three years now and still love it!,positive
1052,SUPPORT#QUALITY,"In those three years, I've had a couple of minor problems and both were resolved by Apple quickly and easily.",positive
1053,POWER_SUPPLY#QUALITY,"My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.",negative
1054,,"After a couple of years, my battery life began to diminish but was replaced for free due to a company-wide recall of my particular battery.",
1055,LAPTOP#QUALITY,"In the three years I've had my MacBook Pro, I have never had a virus on my computer, and I do a lot of work on the internet.",positive
1056,,"While there are occasions that my computer will freeze or will need to be manually shut down, this occurs far less frequently than on PC computers and laptops that I've used.",
1057,SOFTWARE#USABILITY,The iLife software that comes with the computer is so simple to use and produces a great finished product.,positive
1058,LAPTOP#GENERAL,I highly recommend this product!,positive
1059,,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",
1060,LAPTOP#QUALITY,Needs constant repair.,negative
1061,DISPLAY#OPERATION_PERFORMANCE,First the screen goes completely out.,negative
1062,SUPPORT#QUALITY,"Then HP sends it back to me with the hardware screwed up, not able to connect.",negative
1063,DISPLAY#OPERATION_PERFORMANCE,"Now the screen is going darker, darker, darker.",negative
1064,SUPPORT#QUALITY,HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.,negative
