,aspect,document,sentiment
1161,,"Despite the fact that there's no optical drive, everything is perfect.",
1162,,"The screen resolution is crystal clear, the speakers are amazing, and the track pad is easy to use.",
1163,,The home page/startup is easy to navigate which is the one thing I was mainly concerned about.,
1164,,"Internet is fast and reliable, battery life lasts a long time.",
1165,,I love this laptop!,
1166,,LOOKS LIKE THIS DELL IS A PIECE OF CRAP.,
1167,,"IT DOES NOT TURN ON - IF I TAKE THE BATTERY OUT IT MIGHT WORK, NOT SURE IF IT'S A BAD BATTERY OR COMPUTER!",
1168,,DO NOT RECOMMEND!,
1169,,Love everything about this laptop!,
1170,,"Sound, quality and touchscreen are awesome!",
1171,,I would definitely recommend this!!,
1172,,"I AM IMPRESSED WITH THIS COMPUTER, INEXPENSIVE BUT QUALITY.",
1173,,"LOVE THE SIZE, I AM USING THIS FOR WORK, I AM A NURSE AND HAVE TO CHART DAILY, THIS IS EASY TO USE AND I HAVE NOT HAD ANY PROBLEMS WITH IT.",
1174,,I am very happy with this computer.,
1175,,"It is exactly what I expected, and the price is excellent!",
1176,,"You are getting what you pay for and in my opinion, it is worth more.",
1177,,Been using it for about 4 hours now and it seems plenty fast and does everything I need it to do.,
1178,,Its a very basic laptop.,
1179,,"I thought it would have a CD-rom drive, but there isnt one.",
1180,,Also wish it had a port to plug an internet cord into it because sometimes my wifi router likes to not work.,
1181,,But for the price its good.,
1182,,Nice laptop.,
1183,,"I use it for school, its quick and has everything I need on it.",
1184,,Good battery life as well.,
1185,,Wifi card not working right out of the box.,
1186,,Dealing with HP support is a ridiculous and painful experience.,
1187,,"I have spent more than 2.5 hours on the phone with them (over 4 different calls), only to get no where.",
1188,,"Now I'm looking into the return process, which I'm sure will just be loads of fun, if my prior experience is any indication.",
1189,,"Seriously, save yourself the hassle and purchase from a different company.",
1190,,"Used to love HP products, but this has soured me on the whole company.",
1191,,Did not disappoint me at all.,
1192,,Lenovo is the best laptop.,
1193,,"We haven't used it enough or had it long enough to give it 5 stars, but so far it has been a very good laptop.",
1194,,Several other reviewers made comments on the keyboard and now I can understand why --- this keyboard is the nicest to use of any laptop we've ever owned.,
1195,,"I'm a life-long desktop computer user, and the keyboard on this laptop is as close to a ""normal"" keyboard as I've ever seen.",
1196,,We like this new laptop -- a lot!,
1197,,Very good performer for the price.,
1198,,"Not blazing fast, but quick enough.",
1199,,One really nice thing about Lenovo laptops is that they are not cluttered with a bunch or trial software.,
1200,,The desktop was clean once I got it up and running.,
1201,,"Battery life is above average, and it charges quickly.",
1202,,Keyboard is sturdy.,
1203,,"The touch pad takes a little getting used to as the ""click"" buttons are on top instead of the bottom.",
1204,,I will be considering Lenovo for all future laptop purchases.,
1205,,ouch.,
1206,,it stopped working 31 days after purchase.,
1207,,i just tried to restart it.,
1208,,i hope they can fix it somehow.,
1209,,it was slow and might be problematic.,
1210,,i would shop around for a better one.,
1211,,I love this laptop.,
1212,,Even my extremely tech savvy boyfriend was impressed with the features and sleek design.,
1213,,"Although I've had it for less than a week, I am very satisfied.",
1214,,I love this laptop!,
1215,,It does everything I need it too!,
1216,,Immediately didn't like the track buttons.,
1217,,They are loud and clunky but I figured I'd get used to it.,
1218,,No need to.,
1219,,The laptop died two days after I received it.,
1220,,"In all my life i have never come across a computer as slow as this one, it cant perform basic operations and is practically useless.",
1221,,I just received the laptop and if it runs like this already cant imagine how it would work in the next couple of weeks.,
1222,,It took almost 20 minutes to boot up.,
1223,,Please people dont make the same mistake i did.,
1224,,"This is a complete waste of money, dont let the price fool you!",
1225,,Would be a very nice laptop if the mousepad worked properly.,
1226,,It was not responsive at all to touch.,
1227,,Very frustrating.,
1228,,"And while tapping the mousepad to try to get it to work, your palm would inevitably touch the side which would pull up the side windows and block your ability to find the mouse.",
1229,,"If they can fix this, I think it would be a very nice, cost-effective laptop.",
1230,,This laptop broke within the first hour of use.,
1231,,The 'A' key became jammed so that sometimes it wouldn't press in.,
1232,,Dell claims they test each key with thousands of mechanical key strokes.,
1233,,"Also, after restarting the laptop it constantly made high pitched electronic noises.",
1234,,"I'm sure I just got a bad egg, but instead of getting a replacement I decided to try a different one.",
1235,,I love this laptop.,
1236,,"Looks good , well built, and very good speed.",
1237,,"Needed a 2 usb adapt. for network plug, no problem.",
1238,,"Keyboard is nice and windows 8.1 is great, worried about that coming from xp.",
1239,,Price makes this the laptop I was looking for.,
1240,,So far I am very happy with this computer.,
1241,,"It has everything I wanted-- built in Wi-Fi connectibility, a slot for my SD camera memory card, a DVD burner, big beautiful screen, plenty of USB ports (three 3.0 and one 2.0), and a keyboard with a nice touch.",
1242,,"I liked the fact that it came with Windows 7, but also included Windows 8 to install later if I need it.",
1243,,The price was good.,
1244,,"I use a wireless mouse, but the touch pad and the ""red button"" in the middle that works like a little ""joystick"" also work fine.",
1245,,I wish I had bought this sooner!,
1246,,Hands down one of my best and most used purchases thus far.,
1247,,The Mid-2014 MacBook Pro does no disappoint...,
1248,,"Retina screen, solid build quality, weight, fast processor and the reliability of the Apple brand.",
1249,,"Cons:Honestly zero con's ... as a Windows PC user the switch over was seamlessly,  I run Parallel when I need Windows.",
1250,,All my devices work flawlessly.,
1251,,"I'm an amature, so this does more than I can handle.",
1252,,"I'm perfectly satisfied, just have to get use to the new 6.1 system I can't see a problem.",
